storm_id,storm_name,time,grade,latitude,longitude,central_pressure_hpa,max_sustained_wind_kt
2106,IN-FA,2021-07-15T18:00:00Z,2,16.6,135.1,1006,0
2106,IN-FA,2021-07-16T00:00:00Z,2,16.9,135.3,1006,0
2106,IN-FA,2021-07-16T06:00:00Z,2,17.5,135.4,1004,0
2106,IN-FA,2021-07-16T12:00:00Z,2,18.5,135.3,1004,0
2106,IN-FA,2021-07-16T18:00:00Z,2,19.5,135.3,1004,0
2106,IN-FA,2021-07-17T00:00:00Z,2,20.7,134.3,1002,0
2106,IN-FA,2021-07-17T06:00:00Z,2,21.2,133.9,1000,0
2106,IN-FA,2021-07-17T12:00:00Z,3,21.6,133.5,998,35
2106,IN-FA,2021-07-17T18:00:00Z,3,22.1,133,998,35
2106,IN-FA,2021-07-18T00:00:00Z,3,22.6,132.5,998,35
2106,IN-FA,2021-07-18T06:00:00Z,3,22.9,132.2,996,40
2106,IN-FA,2021-07-18T12:00:00Z,3,23.4,132.1,996,40
2106,IN-FA,2021-07-18T18:00:00Z,3,23.7,132.1,992,45
2106,IN-FA,2021-07-19T00:00:00Z,4,23.9,131.9,990,50
2106,IN-FA,2021-07-19T06:00:00Z,4,24,131.7,990,50
2106,IN-FA,2021-07-19T12:00:00Z,4,24,131.6,990,50
2106,IN-FA,2021-07-19T18:00:00Z,4,24.2,131.2,990,50
2106,IN-FA,2021-07-20T00:00:00Z,4,24.5,130.8,985,55
2106,IN-FA,2021-07-20T03:00:00Z,4,24.6,130.3,985,55
2106,IN-FA,2021-07-20T06:00:00Z,4,24.7,129.8,980,60
2106,IN-FA,2021-07-20T09:00:00Z,4,24.7,129.4,980,60
2106,IN-FA,2021-07-20T12:00:00Z,5,24.6,129,975,65
2106,IN-FA,2021-07-20T15:00:00Z,5,24.4,128.4,975,65
2106,IN-FA,2021-07-20T18:00:00Z,5,24.2,128.2,970,70
2106,IN-FA,2021-07-20T21:00:00Z,5,24.2,128,970,70
2106,IN-FA,2021-07-21T00:00:00Z,5,24.2,127.9,965,75
2106,IN-FA,2021-07-21T03:00:00Z,5,24.2,127.6,965,75
2106,IN-FA,2021-07-21T06:00:00Z,5,24.2,127.2,965,75
2106,IN-FA,2021-07-21T09:00:00Z,5,24.2,126.9,965,75
2106,IN-FA,2021-07-21T12:00:00Z,5,24,126.6,955,80
2106,IN-FA,2021-07-21T15:00:00Z,5,23.8,126.4,955,80
2106,IN-FA,2021-07-21T18:00:00Z,5,23.7,126.2,950,85
2106,IN-FA,2021-07-21T21:00:00Z,5,23.5,126,950,85
2106,IN-FA,2021-07-22T00:00:00Z,5,23.3,126,950,85
2106,IN-FA,2021-07-22T03:00:00Z,5,23.4,125.9,950,85
2106,IN-FA,2021-07-22T06:00:00Z,5,23.5,125.8,950,85
2106,IN-FA,2021-07-22T09:00:00Z,5,23.5,125.8,950,85
2106,IN-FA,2021-07-22T12:00:00Z,5,23.6,125.8,955,80
2106,IN-FA,2021-07-22T15:00:00Z,5,23.7,125.7,955,80
2106,IN-FA,2021-07-22T18:00:00Z,5,23.7,125.5,960,75
2106,IN-FA,2021-07-22T21:00:00Z,5,23.8,125.5,960,75
2106,IN-FA,2021-07-23T00:00:00Z,5,24.3,125.4,960,75
2106,IN-FA,2021-07-23T03:00:00Z,5,24.5,125.3,960,75
2106,IN-FA,2021-07-23T06:00:00Z,5,24.6,125.1,960,75
2106,IN-FA,2021-07-23T09:00:00Z,5,24.7,125.1,960,75
2106,IN-FA,2021-07-23T12:00:00Z,5,24.8,125.1,960,75
2106,IN-FA,2021-07-23T15:00:00Z,5,25.2,125.1,965,70
2106,IN-FA,2021-07-23T18:00:00Z,5,25.5,125,965,70
